序號,時間資訊 (族長年齡依序並列),關鍵事件內容,地點 (距離),引用經文,備註 (關聯、釋義、補充),耶穌基督後期聖徒教會正典關聯
17,亞伯蘭 約 75~85 歲,亞伯蘭接受麥基洗德祝福並納什一,沙微谷,創 14; 亞 1,麥基洗德無父、無母、無族譜、無生之始、無命之終（來 7:1-4）。,亞伯拉罕從麥基洗德手中獲得聖職（教約 84:14）。
18,亞伯蘭 約 75~85 歲,耶和華與亞伯蘭立約，預告後裔受苦四百年,希伯崙,創 15,預言後裔將在埃及受奴役（創 15:13）。,
19,亞伯蘭 85 歲; 撒萊 75 歲,撒萊將使女夏甲給亞伯蘭為妾,希伯崙,創 16:1-3,夏甲與撒萊比喻律法與應許兩約（加 4:22-31）。,
20,亞伯蘭 85 歲; 撒萊 75 歲,夏甲懷孕逃往水泉處遇見使者後，指示回歸順服撒萊,庇耳·拉海·萊,創 16:4-14,,
21,亞伯蘭 86 歲; 撒萊 76 歲,夏甲生下以實瑪利,希伯崙,創 16:15,這是按著血氣生的（加 4:23）。,
22,亞伯拉罕 99 歲; 撒拉 89 歲,亞伯蘭更名亞伯拉罕；撒萊更名撒拉,希伯崙,"創 17:5, 15",亞伯拉罕：多國之父；撒拉：公主。,
23,亞伯拉罕 99 歲; 撒拉 89 歲; 以實瑪利 13 歲,耶和華立割禮為聖約記號，亞伯拉罕與以實瑪利同日受割禮,希伯崙,創 17:9-27,割禮是信心的印記（羅 4:11）。,
24,亞伯拉罕 99 歲; 撒拉 89 歲,亞伯拉罕為所多瑪代求,希伯崙,創 18,六度代求，若有十個義人便不毀滅。,
25,亞伯拉罕 99 歲; 撒拉 89 歲,天使進入所多瑪營救羅得一家,所多瑪,創 19:1-23,,
26,亞伯拉罕 99 歲; 撒拉 89 歲,所多瑪遭火毀滅，羅得妻回頭變為鹽柱,所多瑪 → 瑣珥 (20km),創 19:24-26,應記取羅得妻的教訓（路 17:32）。,
27,亞伯拉罕 約 99~100 歲; 撒拉 約 89~90 歲,兩女兒將羅得灌醉同寢，產下摩押與便亞米,瑣珥附近山洞,創 19:30-38,羅得不知情。摩押、亞捫人之祖。,
28,亞伯拉罕 100 歲; 撒拉 90 歲,亞伯拉罕遷往基拉耳，稱撒拉為妹,希伯崙 → 基拉耳 (80km),創 20,亞比米勒差人取撒拉，神夢中警告後歸還並贈牛羊。,
29,亞伯拉罕 100 歲; 撒拉 90 歲; 以撒 0 歲,以撒出生，亞伯拉罕為其行割禮,別是巴,創 21:1-5,"撒拉因著信，自己雖然過了生育的歲數，還能得力懷孕（來 11:11）。那按著應許生的（加 4:23, 28）",
30,亞伯拉罕 103 歲; 撒拉 93 歲; 以撒 3 歲; 以實瑪利 17 歲,以撒斷奶宴中以實瑪利戲笑；夏甲與以實瑪利被逐,別是巴 → 巴蘭 (200km),創 21:8-21,當時那按著血氣生的，逼迫了那按著聖靈生的（加 4:29）。按猶太傳統及聖經前例，斷奶通常為三歲。,
31,亞伯拉罕 約 103~137 歲; 以撒 約 3~37 歲,亞伯拉罕與亞比米勒在盟誓之井立約,別是巴,創 21:22-34,以七隻母羊羔為證，在別是巴栽種一棵垂絲柳樹。,
32,亞伯拉罕 約 103~137 歲; 以撒 約 3~37 歲,亞伯拉罕蒙神試驗往摩利亞山獻以撒,摩利亞山,創 22,亞伯拉罕因著信，被試驗的時候，就把以撒獻上，歡喜領受應許（來 11:17）。,算為他的公義（教約 132:36）。
33,亞伯拉罕 137 歲; 以撒 37 歲,撒拉去世，亞伯拉罕買麥比拉洞,希伯崙,創 23,撒拉是唯一記載死亡歲數的女性；第一塊合法地產。,
34,亞伯拉罕 140 歲; 以撒 40 歲,亞伯拉罕遣老僕回哈蘭聘娶利百加,哈蘭 → 庇耳·拉海·萊 (700km),創 24,利百加是以撒表姪女；嚴令不娶迦南女。,
35,亞伯拉罕 約 140~160 歲; 以撒 約 40~60 歲,亞伯拉罕續弦娶基土拉再生六子,迦南東方,創 25:1-6,,
36,亞伯拉罕 約 140~160 歲; 以撒 約 40~60 歲,亞伯拉罕打發庶子離開以撒遷往東方,希伯崙 → 東方 (150km),創 25:5-6,釐清繼承權，確保以撒能順利繼承所有產業。,
37,亞伯拉罕 160 歲; 以撒 60 歲; 雅各 0 歲,以撒從利百加生雅各與以掃,庇耳·拉海·萊,創 25:26,以掃：渾身有毛；雅各：抓。兩國在你腹內，大的要服事小的。雙子還沒有生下來，善惡還沒有作出來，只因要顯明神揀選人的旨意（羅 9:10-13）。,
38,亞伯拉罕 175 歲; 以撒 75 歲; 雅各 15 歲,亞伯拉罕去世,希伯崙,創 25:7-9,,已進入超升（教約 132:29）。
39,以撒 約 75~137 歲; 雅各 約 15~77 歲,雅各用紅豆湯交換以掃長子名分,迦南,創 25:29-34,以掃因紅豆湯又名「以東」（紅）（創 25:30）。,
40,以撒 約 75~137 歲; 雅各 約 15~77 歲,以撒因饑荒遷往基拉耳,別是巴 → 基拉耳 (80km),創 26:1-6,發生第二次大饑荒。,
41,以撒 約 75~137 歲; 雅各 約 15~77 歲,以撒稱利百加為妹遭責備,基拉耳,創 26:7-11,兩人並非兄妹。,
42,以撒 約 75~137 歲; 雅各 約 15~77 歲,以撒耕種百倍收穫成大富戶，非利士人封井驅逐,基拉耳 → 基拉耳谷 (10km),創 26:12-16,非利士人因以撒強盛而嫉妒。,
43,以撒 約 75~137 歲; 雅各 約 15~77 歲,以撒在基拉耳谷重挖三井，後遷回別是巴,基拉耳谷 → 別是巴 (80km),創 26:17-31,挖埃色、西提拿、利河伯三井。,
44,以撒 100 歲; 以掃 40 歲; 雅各 40 歲,以掃娶二赫人妻使父母愁煩,迦南,創 26:34-35,娶猶滴與巴實抹。,
45,以撒 123 歲; 雅各 63 歲,以實瑪利去世 (137 歲),巴蘭與埃及間,創 25:12-18,以實瑪利子孫住哈腓拉直到書珥；生十二個族長。,
46,以撒 137 歲; 雅各 77 歲,利百加教雅各騙取祝福，以掃欲殺雅各，利百加促雅各逃往哈蘭避禍娶妻,別是巴 → 哈蘭 (700km),創 27,以撒眼盲被騙。雅各年齡依 130 歲見法老回推。,
47,以撒 137 歲; 雅各 77 歲,雅各在路斯夢見天梯，改名伯特利,伯特利,創 28,梯子預表基督是中保（約 1:51）。,
48,以撒 137 歲; 雅各 77 歲,以掃才知父母看不上迦南女子，再娶堂姊瑪哈拉為妻,迦南,創 28:8-9,瑪哈拉為以實瑪利之女。,
49,以撒 144 歲; 雅各 84 歲,雅各娶母舅拉班的女兒利亞與拉結,哈蘭,創 29,欲取拉結被拉班騙工 7 年僅得利亞，取拉結後再做 7 年共 14 年。是以利百加的姪女。利亞：疲累；拉結：母羊。,
50,以撒 144~150 歲; 雅各 84~90 歲,利亞生下流便、西緬、利未、猶大,哈蘭,創 29:31-35,流便：看哪一個兒子（耶和華看見我的苦情）；西緬：聽見（耶和華聽見我失寵）；利未：聯合（丈夫必與我聯合）；猶大：讚美（這回我要讚美耶和華）。,
51,以撒 144~151 歲; 雅各 84~91 歲,拉結不生育將使女辟拉給雅各為妾,哈蘭,創 30:1-4,,
52,以撒 144~151 歲; 雅各 84~91 歲,辟拉生下但、拿弗他利,哈蘭,創 30:5-8,但：伸冤（神為我伸了冤）；拿弗他利：相爭（我與姊姊大大相爭且勝了）。,
53,以撒 148~151 歲; 雅各 88~91 歲,利亞暫停生育將使女悉帕給雅各為妾,哈蘭,創 30:9,,
54,以撒 149~151 歲; 雅各 89~91 歲,悉帕生下迦得、亞設,哈蘭,創 30:10-13,迦得：萬幸；亞設：有福（我有福啊，眾女子都要稱我有福）。,
55,以撒 149~151 歲; 雅各 89~91 歲,利亞再生下以薩迦、西布倫、底拿,哈蘭,創 30:14-21,以薩迦：價值/雇價（神給了我價值）；西布倫：同住（丈夫必與我同住）；底拿：伸冤/審判。,
56,以撒 151 歲; 雅各 91 歲; 約瑟 0 歲,拉結生下約瑟，雅各要求回鄉,哈蘭,創 30:22-25,約瑟：增添（願耶和華再增添我一個兒子）。此時 14 年工期已滿。,
57,以撒 151~157 歲; 雅各 91~97 歲; 約瑟 0~6 歲,拉班再邀工，雅各刻意繁殖斑紋肥羊使羊群發達,哈蘭,創 30:25-43,6年後雅各逃跑；工期總計共 20 年。,
58,以撒 157 歲; 雅各 97 歲; 約瑟 6 歲,雅各逃離拉班，在基列山立約，堆聚石堆起名迦累得,哈蘭 → 基列山 (600km),創 31,堆聚石堆起名迦累得。,
59,以撒 157 歲; 雅各 97 歲; 約瑟 6 歲,雅博渡口與天使摔跤直到黎明，更名以色列,雅博渡口,創 32:24-28,改名毗努伊勒意為「神的面」。,
60,以撒 157 歲; 雅各 97 歲; 約瑟 6 歲,雅各與以掃重逢和解,疏割,創 33:1-17,,
61,以撒 約 157~168 歲; 雅各 約 97~108 歲; 約瑟 約 6~17 歲,以掃遷居西珥山,疏割 → 西珥山 (150km),創 36:6-8,因財產過多地容不下而遷出。,
62,以撒 約 157~168 歲; 雅各 約 97~108 歲; 約瑟 約 6~17 歲,雅各遷往示劍買地築壇,疏割 → 示劍 (50km),創 33:18-20,築一座壇起名叫伊利·伊羅伊·以色列。,
63,以撒 約 157~168 歲; 雅各 約 97~108 歲; 約瑟 約 6~17 歲; 底拿 約 7~18 歲,底拿被示劍淫辱，示劍誠意求婚,示劍,創 34:1-12,示劍王子深愛底拿；哈抹願出極多聘金。,
64,以撒 約 157~168 歲; 雅各 約 97~108 歲; 約瑟 約 6~17 歲; 西緬 約 12~23 歲; 利未 約 11~22 歲,西緬與利未騙示劍人受割禮後殺盡男丁並擄掠,示劍,創 34:13-29,雅各二子趁痛屠城並擄走婦女孩子；導致二人失去雅各祝福（創 49:5-7）。,
65,以撒 約 157~168 歲; 雅各 約 97~108 歲; 約瑟 約 6~17 歲,雅各遷往伯特利除偶像,示劍 → 伯特利 (35km),創 35:1-15,神使周圍城邑的人驚懼不再追趕。,
66,以撒 約 157~168 歲; 雅各 約 97~108 歲; 約瑟 約 6~17 歲,利百加乳母底波拉去世,伯特利下邊,創 35:8,葬於橡樹下，地名「亞倫·巴古」。,
67,以撒 約 157~168 歲; 雅各 約 97~108 歲; 約瑟 約 6~17 歲; 流便 約 13~24 歲,流便與其父之妾辟拉同寢亂倫,以得台,創 35:22,導致流便失去長子權與雅各祝福（代上 5:1；創 49:3-4）。,
68,以撒 約 157~168 歲; 雅各 約 97~108 歲; 約瑟 約 6~17 歲; 便雅憫 出生,便雅憫出生，拉結難產死於伯利恆路旁,伯利恆,創 35:16-20,拉結命名便俄尼，雅各命名便雅憫。葬在路旁（非合葬祖墳）。,
69,以撒 約 168 歲; 雅各 108 歲; 約瑟 17 歲,約瑟夢見禾捆與星辰,希伯崙,創 37,十一顆星代表他的兄弟。,
70,以撒 約 168 歲; 雅各 108 歲; 約瑟 17 歲; 流便 約 24 歲; 猶大 約 21 歲,約瑟在多坍被賣往埃及,多坍 → 埃及 (400km),創 37,流便欲保其命，猶大提議賣給以實瑪利人。,
71,以撒 約 168~180 歲; 雅各 約 108~120 歲; 約瑟 約 17~29 歲,猶大長子次子行惡被耶和華擊殺,迦南,創 38,珥因行惡被殺；俄南得嫂不為兄立後遺精在地遭神擊殺。,
72,以撒 約 168~180 歲; 雅各 約 108~130 歲; 約瑟 約 17~39 歲; 猶大 約 21~43 歲,猶大招偽裝成妓女的兒媳他瑪產下二子,伊拿印,創 38:12-30,謝拉先伸手被綁紅線後收回，法勒斯搶先出生。法勒斯一脈生基督。法勒斯：突破；謝拉：閃耀。,
73,以撒 約 168~179 歲; 雅各 約 108~119 歲; 約瑟 約 17~28 歲,約瑟受波提乏重用，拒主母誘惑遭誣下獄,埃及,創 39,波提乏為護衛長，約瑟囚於法老監獄。,
74,以撒 179 歲; 雅各 119 歲; 約瑟 28 歲,約瑟獄中為酒政、膳長解夢,埃及,創 40,酒政 2 年後將約瑟推薦給法老。,
75,以撒 180 歲; 雅各 120 歲; 約瑟 29 歲,以撒去世,希伯崙,創 35:27-29,雅各與以掃合葬之。以撒一生 180 歲。,
76,雅各 121 歲; 約瑟 30 歲,約瑟為法老解夢受封宰相,埃及,創 41:46,為法老解夢七豐年與七荒年。,
77,雅各 121 歲; 約瑟 30 歲,約瑟蒙法老賜名撒發那忒·巴內亞，又賜婚娶安城祭司波提非拉的女兒亞西納為妻,埃及安城 (On),創 41:45,亞西納為波提非拉的女兒，亞西納最普遍的學術解釋是：「屬於奈特女神的人」。,
78,雅各 122~128 歲; 約瑟 31~37 歲,約瑟生長子瑪拿西,埃及,創 41:51,瑪拿西：使之忘了（神使我忘了一切的困苦）。,瑪拿西支派（阿爾瑪書 10:3）。
79,雅各 123~128 歲; 約瑟 32~37 歲,約瑟生次子以法蓮,埃及,創 41:52,以法蓮：使之昌盛（神使我在受苦之地昌盛）。,以法蓮支派持有聚集權鑰（教約 133:30）。
80,雅各 130 歲; 約瑟 39 歲,雅各眾子第一次下埃及買糧,埃及,創 42,荒年第二年。約瑟扣押西緬為質，要求帶回最小的弟弟。,
81,雅各 130 歲; 約瑟 39 歲,雅各眾子第二次下埃及,埃及,"創 43, 44",設銀杯於便雅憫袋中測試哥哥們。,
82,雅各 130 歲; 約瑟 39 歲,約瑟與兄弟相認,埃及,創 45,約瑟說明是神差他在先保全生命。,
83,雅各 130 歲; 約瑟 39 歲,雅各全族遷入埃及歌珊地,迦南 → 歌珊地 (350km),創 46,雅各下埃及（徒 7:15）。,
84,雅各 147 歲; 約瑟 56 歲,雅各祝福 12 支派含約瑟二子,歌珊地,"創 48, 49",因著信，雅各給約瑟二子祝福，雅各臨終扶杖敬拜（來 11:21）。,
85,雅各 147 歲; 約瑟 56 歲,雅各去世，葬回迦南,歌珊地 → 希伯崙 (450km),創 50,遺體防腐 40 天。葬於麥比拉洞。利亞和利百加都已先葬於此。,
86,約瑟 110 歲,約瑟去世，骸骨留命帶回迦南,埃及,創 50:22-26,約瑟因著信，臨終時提到以色列子孫出埃及的事，並為自己的骸骨留下遺命（希 11:22）。,
